name	kind	signature	realisations	status	origin	source
Real64Array2	structure	MONO_ARRAY2	where type vector = Real64Vector.vector where type elem = Real64.real	optional	claimed	lib/basis/mono_real64.sml
Real64ArraySlice	structure	MONO_ARRAY_SLICE	where type vector = Real64Vector.vector where type vector_slice = Real64VectorSlice.slice where type array = Real64Array.array where type elem = Real64.real	optional	claimed	lib/basis/mono_real64.sml
Real64Vector	structure	MONO_VECTOR	where type elem = Real64.real	optional	claimed	lib/basis/mono_real64.sml
Real64VectorSlice	structure	MONO_VECTOR_SLICE	where type vector = Real64Vector.vector where type elem = Real64.real	optional	claimed	lib/basis/mono_real64.sml
RealArray	structure	MONO_ARRAY	where type vector = RealVector.vector where type elem = real	optional	claimed	lib/basis/mono_real.sml
RealArray2	structure	MONO_ARRAY2	where type vector = RealVector.vector where type elem = real	optional	claimed	lib/basis/mono_real.sml
RealArraySlice	structure	MONO_ARRAY_SLICE	where type vector = RealVector.vector where type vector_slice = RealVectorSlice.slice where type array = RealArray.array where type elem = real	optional	claimed	lib/basis/mono_real.sml
RealVector	structure	MONO_VECTOR	where type elem = real	optional	claimed	lib/basis/mono_real.sml
RealVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = RealVector.vector where type elem = real	optional	claimed	lib/basis/mono_real.sml
SML90	structure	SML90		optional	claimed	lib/basis/sml90.sml
Socket	structure	SOCKET		optional	claimed	lib/basis/socket.sml
StreamIO	functor	STREAM_IO		optional	ascribed	lib/basis/io_functors.sml
String	structure	STRING	where type string = string where type char = Char.char	required	claimed	lib/basis/string.sml
StringCvt	structure	STRING_CVT		required	claimed	lib/basis/stringcvt.sml
Substring	structure	SUBSTRING	where type string = string where type char = Char.char	required	claimed	lib/basis/substring.sml
Text	structure	TEXT	where type Char.char = Char.char where type String.string = String.string where type Substring.substring = Substring.substring where type CharArray.array = CharArray.array where type CharVectorSlice.slice = CharVectorSlice.slice where type CharArraySlice.slice = CharArraySlice.slice	required	claimed	lib/basis/text.sml
TextIO	structure	IMPERATIVE_IO		required	claimed	lib/basis/textio.sml
TextIO	structure	TEXT_IO		required	claimed	lib/basis/textio.sml
TextIO.StreamIO	structure	STREAM_IO		required	claimed	lib/basis/textio.sml
TextIO.StreamIO	structure	TEXT_STREAM_IO	where type reader = TextPrimIO.reader where type writer = TextPrimIO.writer where type pos = TextPrimIO.pos	required	claimed	lib/basis/textio.sml
TextPrimIO	structure	PRIM_IO	where type array = CharArray.array where type vector = CharVector.vector where type elem = Char.char	required	claimed	lib/basis/textprimio.sml
Time	structure	TIME		required	claimed	lib/basis/time.sml
Timer	structure	TIMER		required	claimed	lib/basis/timer.sml
Unix	structure	UNIX		optional	claimed	lib/basis/unix.sml
UnixSock	structure	UNIX_SOCK		optional	claimed	lib/basis/inetsock.sml
Vector	structure	VECTOR		required	claimed	lib/basis/vector.sml
VectorSlice	structure	VECTOR_SLICE		required	claimed	lib/basis/vectorslice.sml
WideChar	structure	CHAR	where type char = WideChar.char where type string = WideString.string	optional	claimed	lib/basis/widechar.sml
WideCharArray	structure	MONO_ARRAY	where type vector = WideCharVector.vector where type elem = WideChar.char	optional	claimed	lib/basis/widechar.sml
WideCharArraySlice	structure	MONO_ARRAY_SLICE	where type vector = WideCharVector.vector where type vector_slice = WideCharVectorSlice.slice where type array = WideCharArray.array where type elem = WideChar.char	optional	claimed	lib/basis/widechar.sml
WideCharVector	structure	MONO_VECTOR	where type elem = WideChar.char	optional	claimed	lib/basis/widechar.sml
WideCharVector	structure	MONO_VECTOR_EQ	where type elem = RuneWideChar.char	optional	ascribed	lib/basis/widechar.sml
WideCharVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = WideCharVector.vector where type elem = WideChar.char	optional	claimed	lib/basis/widechar.sml
WideString	structure	STRING	where type string = WideCharVector.vector where type char = WideChar.char	optional	claimed	lib/basis/widestring.sml
WideSubstring	structure	SUBSTRING	where type substring = WideCharVectorSlice.slice where type string = WideCharVector.vector where type char = WideChar.char	optional	claimed	lib/basis/widestring.sml
WideText	structure	TEXT		optional	claimed	lib/basis/widetext.sml
WideTextPrimIO	structure	PRIM_IO		optional	claimed	lib/basis/widetextio.sml
Word	structure	WORD		required	claimed	lib/basis/word.sml
Word16	structure	WORD		optional	claimed	lib/basis/word16.sml
Word16Array	structure	MONO_ARRAY	where type vector = Word16Vector.vector where type elem = Word16.word	optional	claimed	lib/basis/mono_word16.sml
Word16Array2	structure	MONO_ARRAY2	where type vector = Word16Vector.vector where type elem = Word16.word	optional	claimed	lib/basis/mono_word16.sml
Word16ArraySlice	structure	MONO_ARRAY_SLICE	where type vector = Word16Vector.vector where type vector_slice = Word16VectorSlice.slice where type array = Word16Array.array where type elem = Word16.word	optional	claimed	lib/basis/mono_word16.sml
Word16Vector	structure	MONO_VECTOR	where type elem = Word16.word	optional	claimed	lib/basis/mono_word16.sml
Word16VectorSlice	structure	MONO_VECTOR_SLICE	where type vector = Word16Vector.vector where type elem = Word16.word	optional	claimed	lib/basis/mono_word16.sml
Word32	structure	WORD		optional	claimed	lib/basis/word32.sml
Word32Array	structure	MONO_ARRAY	where type vector = Word32Vector.vector where type elem = Word32.word	optional	claimed	lib/basis/mono_word32.sml
Word32Array2	structure	MONO_ARRAY2	where type vector = Word32Vector.vector where type elem = Word32.word	optional	claimed	lib/basis/mono_word32.sml
Word32ArraySlice	structure	MONO_ARRAY_SLICE	where type vector = Word32Vector.vector where type vector_slice = Word32VectorSlice.slice where type array = Word32Array.array where type elem = Word32.word	optional	claimed	lib/basis/mono_word32.sml
Word32Vector	structure	MONO_VECTOR	where type elem = Word32.word	optional	claimed	lib/basis/mono_word32.sml
Word32VectorSlice	structure	MONO_VECTOR_SLICE	where type vector = Word32Vector.vector where type elem = Word32.word	optional	claimed	lib/basis/mono_word32.sml
Word64	structure	WORD		optional	claimed	lib/basis/word64.sml
Word64Array	structure	MONO_ARRAY	where type vector = Word64Vector.vector where type elem = Word64.word	optional	claimed	lib/basis/mono_word64.sml
Word64Array2	structure	MONO_ARRAY2	where type vector = Word64Vector.vector where type elem = Word64.word	optional	claimed	lib/basis/mono_word64.sml
Word64ArraySlice	structure	MONO_ARRAY_SLICE	where type vector = Word64Vector.vector where type vector_slice = Word64VectorSlice.slice where type array = Word64Array.array where type elem = Word64.word	optional	claimed	lib/basis/mono_word64.sml
Word64Vector	structure	MONO_VECTOR	where type elem = Word64.word	optional	claimed	lib/basis/mono_word64.sml
Word64VectorSlice	structure	MONO_VECTOR_SLICE	where type vector = Word64Vector.vector where type elem = Word64.word	optional	claimed	lib/basis/mono_word64.sml
Word8	structure	WORD		required	claimed	lib/basis/word8.sml
Word8Array	structure	MONO_ARRAY	where type vector = Word8Vector.vector where type elem = Word8.word	required	claimed	lib/basis/word8array.sml
Word8Array2	structure	MONO_ARRAY2	where type vector = Word8Vector.vector where type elem = Word8.word	optional	claimed	lib/basis/word8array2.sml
Word8ArraySlice	structure	MONO_ARRAY_SLICE	where type vector = Word8Vector.vector where type vector_slice = Word8VectorSlice.slice where type array = Word8Array.array where type elem = Word8.word	required	claimed	lib/basis/word8arrayslice.sml
Word8Vector	structure	MONO_VECTOR	where type elem = Word8.word	required	claimed	lib/basis/word8vector.sml
Word8VectorSlice	structure	MONO_VECTOR_SLICE	where type vector = Word8Vector.vector where type elem = Word8.word	required	claimed	lib/basis/word8vectorslice.sml
WordArray	structure	MONO_ARRAY	where type vector = WordVector.vector where type elem = word	optional	claimed	lib/basis/mono_word.sml
WordArray2	structure	MONO_ARRAY2	where type vector = WordVector.vector where type elem = word	optional	claimed	lib/basis/mono_word.sml
WordArraySlice	structure	MONO_ARRAY_SLICE	where type vector = WordVector.vector where type vector_slice = WordVectorSlice.slice where type array = WordArray.array where type elem = word	optional	claimed	lib/basis/mono_word.sml
WordVector	structure	MONO_VECTOR	where type elem = word	optional	claimed	lib/basis/mono_word.sml
WordVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = WordVector.vector where type elem = word	optional	claimed	lib/basis/mono_word.sml
